ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,error
DE0310,Hochschule Bochum,public,University of applied sciences,No,www.hochschule-bochum.de,DEA5,Arnsberg,Arnsberg,DEA51,"Bochum, Kreisfreie Stadt","Bochum, Kreisfreie Stadt","Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=131.0.6778.267)
Stacktrace:
	GetHandleVerifier [0x00007FF63AFE80D5+2992373]
	(No symbol) [0x00007FF63AC7BFD0]
	(No symbol) [0x00007FF63AB1590A]
	(No symbol) [0x00007FF63AB13061]
	(No symbol) [0x00007FF63AB03BD9]
	(No symbol) [0x00007FF63AB0592F]
	(No symbol) [0x00007FF63AB03E9F]
	(No symbol) [0x00007FF63AB0371D]
	(No symbol) [0x00007FF63AB0363A]
	(No symbol) [0x00007FF63AB01251]
	(No symbol) [0x00007FF63AB01B1C]
	(No symbol) [0x00007FF63AB189DA]
	(No symbol) [0x00007FF63ABB038E]
	(No symbol) [0x00007FF63AB8F36A]
	(No symbol) [0x00007FF63ABAF584]
	(No symbol) [0x00007FF63AB8F113]
	(No symbol) [0x00007FF63AB5A918]
	(No symbol) [0x00007FF63AB5BA81]
	GetHandleVerifier [0x00007FF63B046A2D+3379789]
	GetHandleVerifier [0x00007FF63B05C32D+3468109]
	GetHandleVerifier [0x00007FF63B050043+3418211]
	GetHandleVerifier [0x00007FF63ADDC78B+847787]
	(No symbol) [0x00007FF63AC8757F]
	(No symbol) [0x00007FF63AC82FC4]
	(No symbol) [0x00007FF63AC8315D]
	(No symbol) [0x00007FF63AC72979]
	BaseThreadInitThunk [0x00007FFD90377374+20]
	RtlUserThreadStart [0x00007FFD9055CC91+33]
"
DE0468,Berlin International University of Applied Sciences,private,University of applied sciences,No,www.berlin-international.de,DE30,Berlin,Berlin,DE300,Berlin,Berlin,"Message: unknown error: net::ERR_CONNECTION_RESET
  (Session info: chrome=131.0.6778.267)
Stacktrace:
	GetHandleVerifier [0x00007FF63AFE80D5+2992373]
	(No symbol) [0x00007FF63AC7BFD0]
	(No symbol) [0x00007FF63AB1590A]
	(No symbol) [0x00007FF63AB13061]
	(No symbol) [0x00007FF63AB03BD9]
	(No symbol) [0x00007FF63AB0592F]
	(No symbol) [0x00007FF63AB03E9F]
	(No symbol) [0x00007FF63AB0371D]
	(No symbol) [0x00007FF63AB0363A]
	(No symbol) [0x00007FF63AB01251]
	(No symbol) [0x00007FF63AB01B1C]
	(No symbol) [0x00007FF63AB189DA]
	(No symbol) [0x00007FF63ABB038E]
	(No symbol) [0x00007FF63AB8F36A]
	(No symbol) [0x00007FF63ABAF584]
	(No symbol) [0x00007FF63AB8F113]
	(No symbol) [0x00007FF63AB5A918]
	(No symbol) [0x00007FF63AB5BA81]
	GetHandleVerifier [0x00007FF63B046A2D+3379789]
	GetHandleVerifier [0x00007FF63B05C32D+3468109]
	GetHandleVerifier [0x00007FF63B050043+3418211]
	GetHandleVerifier [0x00007FF63ADDC78B+847787]
	(No symbol) [0x00007FF63AC8757F]
	(No symbol) [0x00007FF63AC82FC4]
	(No symbol) [0x00007FF63AC8315D]
	(No symbol) [0x00007FF63AC72979]
	BaseThreadInitThunk [0x00007FFD90377374+20]
	RtlUserThreadStart [0x00007FFD9055CC91+33]
"
